"","V22","V25","V26","V27","V28","V29"
"2741",0.14,-3.462671e-18,0.32,-0.55,0.36,-0.2
"2743",0.5,0.25,-0.37,-0.05,0.06,0.04
"2749",0.7675,-0.4825,0.1475,-0.0625,-0.6725,-0.0625
"2753",0.415,0.935,0.265,0.135,-0.315,-0.295
"2755",0.035,-0.225,-0.035,0.595,0.285,-0.355
"2764",-0.095,0.745,0.585,-0.035,-0.025,-0.175
"2765",-0.455,0.875,0.075,-0.005,-0.055,-0.255
"2766",0.55,-0.46,0.29,-0.2,-0.19,-0.46
"2768",-0.73,0.05,0.01,0.03,-0.12,0.29
"2770",-0.77,-1,0.3,-0.06,-0.54,-0.34
"2772",1,0.23,-0.35,-0.55,-0.36,-0.21
"2773",0.2875,-0.6025,-1.1225,-1.4825,0.1175,0.2875
"2774",1.075,-0.425,-0.235,0.255,-0.545,0.355
"2776",0.6400195,-0.8199805,0.1700195,-0.1999805,0.2800195,0.5400195
"2780",0.49,0.2,0.48,0.06,0.13,-0.16
"2781",0.8699902,-0.2300098,0.4999902,-0.1600098,-0.01000977,-0.1000098
"2784",1.03999,-0.07000977,0.3999902,-0.2000098,0.2299902,0.009990234
"2791",0.895,0.605,0.045,-0.275,0.395,-0.335
"2793",-0.105,0.155,0.265,-0.935,-0.155,-0.525
"2794",0.6,0.17,0.14,-1.03,-0.01,-0.63
"2795",0.11,-0.26,-0.13,-1.05,-0.04,-0.52
"2802",1.035,-0.065,0.295,0.555,-0.125,0.215
"2807",0.245,-0.065,-0.185,-0.135,-0.525,-0.055
"2815",0.6300195,-0.009980507,-0.1699805,-0.3699805,-0.5699805,-0.8199805
"2821",0.525,-0.435,0.395,-0.115,0.015,-0.515
"2822",0.01,-0.12,0.69,0.41,-0.14,-0.17
"2828",0.66,-0.32,0.17,-0.19,-0.24,-0.53
"2829",0.025,0.535,0.575,0.145,0.255,-0.405
"2832",-0.105,0.895,-0.045,-1.035,-0.135,0.135
"2833",0.73,-0.09,-0.32,-0.16,-0.41,-0.43
"2840",0.8350098,0.05500977,0.2250098,0.4650098,0.2150098,-0.2749902
"2841",0.34,0.17,0.38,0.31,0.02,-0.11
"2846",0.7550195,-0.04498051,-0.2549805,-0.02498051,0.3150195,0.06501949
"2847",0.43,-0.63,-0.21,-0.02,0.26,-0.01
"2851",0.525,0.405,0.305,-0.555,-0.525,-0.185
"2852",0.7175,0.4375,0.3375,-0.2425,-0.5925,-0.4625
"2858",0.4349902,-1.28501,0.2149902,-0.2150098,-0.2550098,-0.3250098
"2860",0.995,-0.675,-0.025,-0.375,-0.485,-0.325
"2861",1.07,-1.54,0.09,-0.38,-0.48,-0.12
"2863",0.95,-0.47,0.69,0.54,0.19,0.09
"2868",0.8099902,-0.1200098,-0.08000977,-0.05000977,0.8699902,-0.4300098
"2870",0.4,0.01,-0.71,0.12,0.17,6.938894e-18
"2873",0.4025,0.0125,0.1925,-0.0375,-0.0675,-0.2775
"2874",0.805,-0.465,-0.345,-0.025,-0.145,-0.975
"2876",0.835,-0.155,-0.315,-0.345,0.545,-0.075
"2879",0.9950098,0.4550098,-0.2049902,0.6650098,-0.6849902,-0.3149902
"2883",0.565,0.015,-0.165,-0.015,-0.935,-0.285
"2884",1.06,-0.04,0.29,0.12,0.64,0.28
"2894",-0.495,0.545,0.035,-0.215,0.235,0.365
"2896",0.1675,0.0875,-0.3325,0.2175,-0.2225,0.6975
"2898",0.9,-0.69,-0.48,-0.5,-1.34,-0.5
"2900",1.275019,-0.2549805,-0.3349805,-0.2649805,0.1950195,-1.124981
"2910",0.05,-0.65,-0.4,-0.2,0.43,-0.16
"2911",0.34,-0.32,-0.64,0.06,0.27,-0.26
"2912",0.015,-0.015,-0.255,-0.065,0.495,-0.405
"2915",0.085,-0.555,-0.505,-0.245,-0.175,-0.655
"2918",0.5775,-1.1825,-0.7425,-0.4025,0.0575,0.0975
"2921",-0.265,-1.995,-0.515,0.145,0.115,-0.175
"2927",0.095,-1.885,-0.315,-0.165,0.005,-0.385
"2928",0.04999023,-0.2900098,-0.3200098,-0.09000977,-0.1900098,-0.5400098
"2934",0.295,0.365,-1.255,0.105,-0.205,0.035
"2935",-0.05499027,0.2650097,-0.7349903,0.3450097,0.3950097,0.2350097
"2939",-0.27,-0.15,-0.35,-0.1,0.66,-0.35
"2943",0.4700195,-0.4699805,-0.7899805,0.1000195,0.2200195,0.2500195
"2946",0.1450098,0.5850098,-0.2949902,-0.01499023,0.9450098,0.1750098
"2950",0.71,0.52,0.27,-0.23,0.02,-0.42
"2956",0.8275195,-0.4024805,0.07751949,0.1575195,0.1375195,-0.1624805
"2958",-0.055,-0.525,0.345,-0.045,0.695,0.245
"2961",-0.004980507,0.01501949,-0.8549805,-0.2449805,-0.2449805,-0.3549805
"2966",-0.645,0.535,0.735,-0.235,0.515,0.285
"2972",-0.17,0.41,-0.21,-8.605855e-19,-0.2,-0.45
"2973",0.095,0.235,-0.285,-0.115,-0.335,-0.615
"2985",0.335,-0.825,1.045,-0.065,1.665,-1.675
"3001",0.9100195,-0.3099805,-0.4699805,0.1400195,-0.3199805,-0.3399805
"3003",0.805,0.155,-0.615,-0.235,0.665,-0.585
"3010",0.635,-0.085,-0.645,-0.005,-0.845,-0.345
"3011",0.72,-0.13,-0.82,-0.22,-0.55,-0.34
"3014",0.7,-0.16,-0.25,0.33,-0.3,-0.48
"3016",0.77,-0.1,0.08,0.39,0.89,0.75
"3018",-0.055,-0.275,-0.285,0.245,0.025,-0.125
"3019",0.745,0.855,-0.005,0.125,0.335,0.015
"3020",0.8350098,0.1950098,-0.6949902,-0.1749902,0.5750098,-0.4249902
"3021",0.7825,0.2425,-0.4775,-0.0775,0.5025,0.1025
"3033",-0.1050098,-0.4850098,0.4349902,1.28499,-0.5350098,0.2149902
"3044",0.175,0.145,0.085,-0.085,0.705,0.055
"3047",-0.02998051,0.09001949,0.09001949,0.02001949,0.3000195,0.01001949
"3049",0.7,0.02,0.23,0.39,0.92,0.33
"3052",0.08,0.08,-0.51,-0.1,0.43,-0.13
"3053",-0.09,0.11,0.28,0.01,0.58,-0.15
"3059",-0.255,0.025,-0.635,-0.615,0.595,0.635
"3063",0.08500973,-0.2749903,0.4250097,-0.2549903,0.6750097,-0.2249903
"3067",-0.45,0.08,-0.06,0.25,-0.65,0.11
"3068",0.355,-0.025,-0.465,-0.765,-1.345,-0.115
"3069",-0.08,-0.9,-0.29,-0.28,0.19,0.25
"3072",0.1249902,0.1449902,-0.4350098,-0.1850098,0.5249902,0.1649902
"3096",0.97,-0.04,0.01,0.02,0.27,0.25
"3098",0.02999023,0.3499902,-0.1300098,0.1199902,-0.8500098,-0.07000977
"3103",-0.4225,1.0175,0.1375,-0.2825,0.1575,-0.4425
"3104",-0.1549805,0.6050195,-0.4349805,-0.3849805,0.4050195,-0.3449805
"3106",-0.31,-0.18,-0.76,-0.03,0.38,0.42
"3113",0.35,1.27,-0.15,0.27,-0.25,0.13
"3118",-0.76,0.93,0.35,0.38,-0.01,0.76
"3121",0.7999902,-0.08000977,-0.3800098,0.2499902,1.39999,-0.1400098
"3123",0.38,0.56,-0.49,0.23,0.56,0.07
"3127",0.04,0.44,-0.09,-0.18,0.95,0.54
"3128",0.12,0.49,0.35,-0.37,1.67,0.68
"3131",0.185,0.405,0.285,0.365,0.975,0.875
"3132",-0.555,0.435,0.545,-0.105,0.085,0.305
"3142",0.84,-0.66,-0.05,0.16,0.79,0.89
"3144",-0.44,-0.18,-0.18,-0.24,0.18,0.52
"3145",-0.3649902,-0.1549902,-0.1849902,0.05500977,0.1750098,0.7250098
"3146",-0.005,0.465,-0.285,-0.405,0.505,0.755
"3147",0.15,0.62,0.32,0.19,0.95,0.76
"3148",0.39,0.65,0.01,0.02,0.63,0.54
"3150",-0.5399902,0.07000977,0.7000098,0.2000098,-0.07999023,0.6600098
"3151",-0.08,0.6,0.68,0.27,0.2,0.85
"3152",-0.375,0.425,0.665,0.355,-0.285,0.815
"3153",-0.255,0.235,0.485,0.005,0.085,0.415
"3154",-0.02,0.09,0.3,-0.07,0.59,0.2
"3156",0.175,-0.065,-0.175,0.015,0.695,0.745
"3158",0.6950195,0.7950195,0.1150195,-0.2249805,-0.05498051,0.8250195
"3162",0.1149902,0.2449902,-0.2350098,0.05499023,0.1149902,0.7149902
"3163",-0.31,0.37,-0.18,0.09,0.18,0.41
"3164",-0.12,0.36,-0.18,-0.07,3.469447e-18,0.44
"3167",0.12,0.28,-0.38,0.85,-0.24,0.76
"3169",0.685,-0.265,-0.345,0.325,-0.115,0.485
"3170",0.575,-0.155,-0.355,0.295,-0.345,0.595
"3171",0.825,-0.315,-0.885,-0.065,-0.265,0.395
"3172",1.0075,-0.5325,-0.4525,0.3575,-0.6225,0.2775
"3173",1.285019,-0.5149805,0.3050195,0.2050195,0.4350195,0.6250195
"3175",-0.005,0.225,-0.715,0.995,0.105,0.755
"3177",0.405,-0.075,0.105,-0.125,-0.235,0.305
"3180",0.1,0.11,-0.32,0.28,0.61,1.08
"3181",-0.205,0.375,-0.255,-0.085,1.115,0.525
"3183",0.675,0.125,-0.335,-0.085,0.055,0.745
"3188",-0.2649805,0.4750195,0.3650195,-0.1249805,-0.6649805,0.8250195
"3190",-0.3849805,1.16502,-0.08498047,0.005019531,-0.4249805,0.2550195
"3203",0.295,0.425,-0.005,0.205,-0.235,-0.655
"3207",-0.345,0.085,-0.475,0.075,0.085,0.485
"3214",0.175,1.425,0.165,-0.035,-0.075,-0.105
"3225",-0.595,0.705,0.545,-0.945,-0.285,-0.005
"3226",-0.4,0.32,-3.469447e-18,-0.13,1,0.05
"3235",-0.53,-0.13,-0.58,-0.09,-0.24,-0.28
"3241",-1.025,-0.035,0.105,-0.065,1.015,-0.705
"3267",-0.155,-0.005,0.135,0.235,-0.615,0.075
"3268",-0.1,1.734723e-18,0.25,0.25,-0.82,-0.13
"3272",-1.425,-0.155,-1.145,-0.485,-1.275,-0.585
"3273",-0.385,0.175,-0.965,-0.365,-0.315,-0.065
"3275",0.2850098,0.005009766,0.9750098,0.2250098,-0.5649902,-0.3749902
"3282",-0.035,-0.345,0.365,0.065,0.615,-0.575
"3284",-0.2450098,-0.3750098,-0.1450098,0.3949902,0.02499023,-1.20501
"3294",-0.325,0.395,-0.445,0.145,-0.125,-0.805
"3295",-0.325,-0.005,-0.565,0.005,-0.225,-0.325
"3308",0.2650098,-0.3049902,-0.4749902,-0.1349902,0.2350098,-0.4449902
"3309",-0.1350098,0.03499023,-0.4450098,0.5449902,-0.04500977,-0.3150098
"3312",-0.5499805,0.4000195,-0.2799805,0.3500195,0.07001949,-0.1399805
"3314",0.185,0.005,0.275,-0.295,0.265,-0.395
"3322",-0.02,0.53,0.77,-0.1,-0.07,-0.85
"3323",-0.41,0.29,0.11,-0.37,-0.01,-0.02
"3324",-0.36,0.1,0.12,-0.35,-0.75,0.07
"3332",-0.1299902,-0.2299902,-0.1499902,-0.1399902,-0.2999902,9.765625e-06
"3337",0.2300098,0.5700098,0.4000098,0.05000977,0.3000098,-0.02999023
"3338",0.385,0.185,-0.325,0.035,0.015,-0.105
"3340",0.515,-0.095,-0.745,0.235,-0.575,-0.715
"3343",1.75999,0.6399902,-0.2500098,0.7599902,0.4799902,0.4199902
"3344",0.465,0.785,0.285,0.035,0.415,0.495
"3346",0.105,-0.115,-0.165,-0.295,0.135,-0.025
"3354",0.39,-0.24,0.79,0.21,0.32,-0.05
"3360",0.7950098,0.4050098,0.6650098,-0.08499023,0.1250098,1.08501
"3361",0.59,0.25,0.25,0.15,0.66,0.96
"3364",1.39,-1.3,-0.94,-1.17,0.75,-0.16
"3366",-0.165,-0.375,-1.555,-0.845,0.195,0.265
"3376",-1.1375,0.0025,-0.4275,0.6425,0.3225,-1.3975
"3378",-0.05,-0.39,-0.26,-0.49,-0.3,-0.23
"3386",0.715,0.315,-0.095,0.225,-0.735,-0.625
"3390",-0.52,-0.02,-0.33,0.21,0.12,0.03
"3391",0.1749902,-0.1950098,-0.3750098,1.00499,0.7849902,0.1549902
"3392",-0.28,-0.68,0.45,0.85,0.31,-0.78
"3400",0.4725,-0.0175,0.3825,0.3725,0.0525,0.4325
"3404",-0.22,-0.41,0.22,0.3,-1.02,-0.43
"3408",-0.435,-0.325,0.325,0.225,-0.605,0.705
"3412",-0.04498051,-0.2949805,-0.7549805,0.03501949,0.1150195,-0.2949805
"3413",0.38,-0.81,-0.78,-0.4,-0.53,-1.79
"3416",-0.4050098,0.2549902,0.1249902,-0.3850098,0.8949902,0.3349902
"3420",-0.2149903,0.3450097,0.7850097,-0.1149903,0.1050097,0.1150097
"3424",0.005,0.235,-0.145,0.565,0.095,0.675
"3427",0.705,-0.235,-0.415,0.565,0.135,-0.035
"3439",1.465,0.485,0.455,1.175,1.005,-0.115
"3445",0.585,-0.445,1.295,0.285,0.315,-0.075
"3447",-0.9300098,-0.02000977,-9.765625e-06,0.9299902,0.4999902,0.4699902
"3449",-0.31,0.73,-0.53,0.21,0.56,-0.1
"3460",-1.47,0.29,-0.84,-0.83,-0.91,-1.65
"3467",0.01,1.07,0.07,1.76,0.28,-1.25
"3470",-0.415,0.805,0.215,-0.115,-0.865,0.015
"3472",-1.535,-0.105,-0.045,-0.975,-2.295,-0.165
"3473",-1.695,1.045,1.485,-0.415,-1.705,-1.605
"3475",0.065,-0.495,-0.535,-0.485,-0.955,-0.415
"3476",-0.3449902,-0.3849902,0.2450098,-0.2849902,-0.4849902,-1.17499
"3478",0.21,0.63,0.35,-0.3,-0.6,-0.97
"3486",0.0475,1.2675,0.5375,0.4575,-0.2925,0.1375
"3489",0.6825,-0.0875,0.2525,0.0225,-0.0075,-0.2075
"3501",1.55501,-0.1449902,-0.1449902,0.7750098,-1.41499,-0.2649902
"3502",1.205,-0.355,-1.655,0.175,-0.105,0.735
"3503",0.58,-0.03,-1.17,-0.41,0.09,0.5
"3508",-0.1849902,-0.2149902,-0.09499023,0.4950098,-0.9149902,-0.07499023
"3509",-0.185,-0.285,-0.065,0.105,-0.675,0.385
"3510",-0.595,-0.185,-0.155,0.015,-0.395,-0.025
"3513",-0.255,-0.405,-0.165,0.295,-0.135,-0.715
"3515",0.995,-0.005,0.175,-0.355,0.115,-0.275
"3518",1.785,-0.915,-0.435,-0.265,-0.425,-0.405
"3519",0.455,0.575,-0.305,-0.165,-0.135,-0.505
"3522",-0.5949805,-0.2749805,-0.1449805,0.5850195,-0.08498051,0.2050195
"3523",-0.125,-0.595,-0.275,-0.395,-0.865,-0.655
"3527",1.385,-0.695,1.825,-0.795,-0.245,0.275
"3528",0.005,-0.685,-0.215,1.175,0.435,0.685
"3530",0.3325,-0.7075,-0.6175,1.0825,0.5025,0.4425
"3533",-1.355,-2.255,-0.165,-0.265,-0.935,-0.045
"3535",-1.395,-2.095,-0.005,-0.185,-0.755,0.125
"3536",-1.274981,0.1350195,-0.4749805,-0.3049805,-0.5549805,0.005019493
"3537",-1.4,1.88,-0.08,-0.21,-0.71,0.1
"3538",-0.5025,1.0675,-0.1925,0.1275,0.8075,0.1475
"3542",0.025,-0.185,-0.445,-0.125,0.235,0.155
"3550",0.94,0.04,-0.3,0.07,0.7,-0.02
"3551",-0.8149805,-0.1849805,0.2350195,0.1950195,0.3350195,0.2150195
"3552",-0.575,0.085,0.125,-0.095,-0.065,-0.645
"3556",0.2300195,-0.4199805,-0.2999805,0.2600195,-0.6399805,0.3400195
"3557",0.1849902,-0.1050098,-0.6750098,0.3649902,-1.04501,-0.005009766
"3558",-2.5475,0.9425,0.3625,1.4625,-1.0875,1.0025
"3560",0.19,-0.34,2.34,0.56,0.42,-0.4
"3562",0.1875,-0.4425,0.8275,0.2075,-0.3525,-0.4425
"3565",-0.05,0.15,-0.38,0.32,-0.59,2.602085e-18
"3567",0.065,-0.565,-0.515,0.365,0.135,-0.565
"3575",0.705,-0.625,-1.525,-0.155,0.035,0.705
"3577",0.4449902,0.1749902,0.2249902,0.3149902,-0.6450098,0.8649902
"3583",-0.64,-0.55,0.1,-0.28,-0.17,0.55
"3584",-0.4750098,0.2749902,0.4249902,0.2549902,0.1349902,0.06499023
"3590",0.445,-0.055,0.565,-0.085,0.685,0.035
"3593",-0.03498051,0.1350195,0.2150195,0.2650195,0.04501949,-0.6049805
"3596",-0.2450098,0.6249902,0.7249902,0.09499023,-0.4550098,-0.8150098
"3598",-0.665,0.095,0.425,-0.045,-0.555,-0.325
"3601",-0.845,1.045,0.245,-0.185,-0.015,-0.225
"3607",0.385,0.235,-0.095,-0.175,0.015,0.045
"3608",0.8699902,-0.1200098,0.02999023,-0.08000977,0.2899902,-0.1300098
"3610",-0.165,0.115,0.185,-0.155,-0.505,-0.345
"3617",0.3750195,0.5750195,-0.2949805,-0.1749805,0.4150195,0.3250195
"3621",-0.42,0.17,-0.69,0.24,0.5,-0.25
"3624",0.095,1.115,-0.515,0.115,0.305,-0.005
"3627",-1.734723e-18,0.24,-0.25,-0.01,0.45,0.05
"3635",0.74,-0.08,0.47,-0.22,-0.49,-0.58
"3636",0.46,0.19,0.27,0.38,-0.93,-0.62
"3638",-0.235,0.405,0.985,-0.045,-0.845,-0.205
"3641",0.865,0.245,0.165,0.125,-1.115,-0.485
"3643",0.9500098,0.03000977,0.4500098,-0.4999902,-0.5099902,-0.1299902
"3646",0.7,0.76,-0.15,0.42,-0.54,0.21
"3649",0.445,-0.295,0.415,0.655,-0.605,-0.035
"3650",0.88,-0.07,0.53,0.28,-0.86,0.11
"3652",0.87,0.52,-0.02,0.02,-1.25,-0.26
"3653",0.49,-0.19,0.22,0.28,-0.37,-0.23
"3654",0.89,-0.12,0.56,0.26,-0.31,0.01
"3655",0.605,-0.305,0.345,0.265,0.055,0.475
"3656",0.5175,-0.2225,0.3375,0.7675,-0.3325,0.0175
"3659",1.13,0.63,0.59,-0.1,0.03,0.2
"3663",0.22,0.6,-0.47,-0.17,-0.63,-0.07
"3664",0.075,-0.755,-0.065,0.025,-0.625,0.185
"3670",-0.015,0.175,-0.755,-0.355,-0.305,-0.285
"3673",0.07,-0.01,0.33,-0.22,0.77,0.07
"3675",-0.485,0.965,0.285,0.065,-0.075,0.835
"3676",-0.38,0.91,-0.9,-3.455894e-18,-0.28,0.23
"3680",2.22,1.88,1.25,-1.56,0.24,0.17
"3686",0.465,0.635,0.635,-0.315,0.715,0.415
"3688",-0.09498051,-0.5049805,0.4350195,0.01501949,0.3750195,0.2750195
"3698",0.605,0.125,-0.135,-0.145,0.075,0.565
"3701",-0.96,-0.33,-0.86,0.1,-0.55,-1.05
"3702",-0.8799902,-0.1799902,-0.2499902,0.4100098,-0.08999023,-0.02999023
"3709",-0.015,1.215,-0.505,0.225,-0.365,-0.055
"3710",-0.015,0.875,-0.795,0.045,0.125,0.345
"3714",-0.45,-0.5,-0.6,0.07,0.2,0.09
"3715",-0.5850098,0.5449902,-0.2750098,0.3349902,-0.08500977,0.1449902
"3736",0.38,0.51,0.47,-0.72,-0.28,-0.09
"3742",1.63,0.14,1.3,-1.1,-0.01,-0.87
"3753",0.08501949,-0.3249805,-0.1349805,-0.2149805,0.03501949,0.05501949
"3767",-0.8250098,-0.5450098,0.1449902,-0.09500977,0.6549902,0.3449902
"3776",0.9950098,0.2050098,0.4550098,0.2350098,0.2250098,1.32501
"3779",-0.44,0.2,-0.13,0.24,0.68,0.64
"3792",-0.05000977,-0.6600098,-0.1200098,1.44999,0.3699902,1.10999
"3793",-0.3149902,0.4050098,0.06500977,1.47501,0.03500977,0.7750098
"3795",-0.385,0.215,0.075,0.385,-0.515,0.555
"3798",-1.18501,0.01499023,0.4649902,1.24499,-0.6350098,0.3649902
"3799",-0.985,0.045,0.025,0.435,-0.695,0.845
"3800",-0.825,0.315,-0.115,0.715,-0.755,0.895
"3803",-0.7175,0.9125,0.3625,0.1725,-0.4775,0.7725
"3807",-1.3225,-0.5625,-0.0025,0.5175,-0.5025,0.6675
"3810",-0.96,-1.79,0.21,0.46,-0.41,0.7
"3811",-0.9,-0.68,0.12,0.57,-0.43,0.6
"3812",-0.8549902,-0.7649902,0.2750098,0.3050098,-0.3749902,0.6150098
"3813",-1.1375,-0.5675,0.4125,0.4425,-0.6475,0.7225
"3815",-0.935,-0.615,0.495,0.475,-0.445,0.725
"3816",-0.365,-0.095,0.235,0.125,-0.395,0.545
"3818",-0.83,-1.26,0.22,0.19,-0.35,0.42
"3822",-0.3449902,-0.4149902,0.1250098,-0.03499023,-0.09499023,1.02501
"3826",-1.92501,-0.1550098,0.1249902,0.6649902,-3.55501,1.09499
"3829",-1.69001,-0.09000977,0.1599902,0.7199902,-3.11001,0.9799902
"3845",-0.285,-0.195,0.035,-0.365,-0.685,-0.285
"3848",-0.45,-0.03,-0.15,0.37,-1.71,-0.16
"3857",-1.555,-0.075,-2.495,0.215,0.035,0.805
"3859",0.4,0.21,0.2,-0.1,0.99,0.76
"3860",0.02499023,0.3249902,0.4549902,-0.1750098,-0.04500977,0.4449902
"3863",-0.2199805,0.05001949,-0.5999805,-3.369981,-1.989981,-0.09998051
"3865",-0.015,0.535,0.675,-3.195,-1.655,-0.865
"3866",0.145,-0.005,-0.315,-0.895,-0.505,-0.005
"3868",0.38,2.19,2.82,-0.96,-0.98,0.67
"3869",-1.04999,0.04000977,0.7800098,-0.4599902,-0.2399902,0.8200098
"3874",0.9100195,-1.029981,-0.7499805,0.1600195,0.2500195,0.4800195
"3882",-0.935,0.455,0.225,-0.895,-1.205,0.255
"3889",-0.6,-0.46,0.92,0.03,0.05,-0.06
"3891",1.115,0.355,-0.295,0.185,-0.765,-0.045
"3897",0.1925,-0.3175,-0.0975,-0.6175,-1.0975,0.0325
"3910",-0.175,-0.775,0.115,-0.595,-0.445,-0.545
"3921",0.935,-0.235,-0.625,-0.335,0.925,0.705
"3924",-1.81251,-0.6825098,-0.8025098,0.06749023,-0.3025098,0.9974902
"3929",0.225,-0.125,0.575,0.245,-0.045,0.925
"3936",-0.785,-1.635,2.685,-0.245,-1.635,-0.145
"3944",-0.65,0.03,0.9,-0.07,0.35,1.3
"3945",-0.4599902,0.07000977,0.5000098,-0.2199902,0.3100098,0.9000098
"3949",0.16,-0.03,0.34,-0.39,0.33,-0.09
"3964",1.04,-0.86,-0.45,-0.27,-0.44,-0.24
"3966",0.835,-0.625,0.655,-0.445,0.055,0.085
"3967",-0.5,0.48,-0.28,-0.21,-0.12,0.45
"3979",-1.925,-0.165,0.005,0.445,-0.005,-0.345
"3982",-0.925,-0.255,-0.815,-0.705,-0.495,0.165
"3991",-0.05,-0.32,0.09,-0.21,-0.14,3.970467e-23
"3992",-0.005,-0.215,-0.025,-0.285,-0.215,-0.015
"3998",-0.2500098,0.3099902,-0.7300098,0.2499902,0.1299902,0.2499902
"3999",-0.555,0.135,-0.905,0.365,-0.245,0.295
"4000",-0.395,-0.025,-0.755,0.155,-0.025,0.115
"4008",-0.33,-1.18,0.27,0.03,0.35,-0.15
"4011",-0.1,0.47,2.95,2.71,2.57,-0.21
"4014",-1.195,-0.785,-0.645,-0.305,0.045,-0.595
"4016",0.09,-0.35,-0.41,0.08,-0.07,0.04
"4017",0.15,0.01,-0.22,0.56,1.25,0.19
"4019",-0.29,0.69,-0.51,-0.13,0.09,-0.1
"4022",0.3799902,-0.7100098,-0.3800098,-0.2400098,0.2699902,-0.1100098
"4026",-0.1700098,0.4299902,0.8499902,0.3499902,-0.3200098,-0.03000977
"4034",0.685,-0.005,-0.215,0.415,0.005,-0.355
"4045",0.595,-0.395,-0.165,-0.015,0.605,0.765
"4049",0.1199902,-1.07001,-0.5200098,-0.5900098,-0.5900098,0.9799902
"4051",-0.44,0.89,-1.07,-0.59,-0.41,0.54
"4055",-1.03,-0.25,0.16,-0.56,0.51,0.41
"4062",0.325,0.105,-2.745,0.185,-1.315,0.785
"4066",-0.5449805,-0.5749805,0.03501949,0.09501949,0.6950195,0.8150195
"4067",0.5650195,-0.3949805,-0.8249805,-0.3949805,0.1950195,0.5150195
"4072",-0.935,1.185,0.785,-0.185,1.365,-0.345
"4083",-0.035,0.295,0.855,-0.235,-0.165,-0.455
"4084",-0.36,0.12,0.95,-0.47,-0.25,-0.95
"4086",0.085,-0.065,0.165,0.665,-1.055,-0.155
"4088",-1.56,2.29,1.13,1.61,1.17,-0.65
"4093",1.445,-0.605,0.355,-2.415,-3.095,1.195
"4100",-0.195,0.835,-0.035,-0.005,0.235,-1.195
"4108",-0.955,0.025,-0.855,0.145,-0.935,-0.525
"4124",-0.395,-0.505,0.295,-0.135,-0.085,0.285
"4128",-1.7625,0.2675,0.9375,0.1975,0.9775,-1.1725
"4132",-0.44,0.69,1.29,-0.78,-0.25,-0.32
"4135",0.03,0.49,0.09,2.602085e-18,0.2,-0.45
"4142",0.06,1.88,-0.03,-0.07,0.63,-0.13
"4147",-0.05,0.5,-0.06,-0.51,-0.14,-0.82
"4148",-0.71,0.42,0.53,-1.58,-0.93,-0.05
"4150",-0.445,0.185,-0.345,0.095,-0.475,-0.745
"4151",-0.8099902,0.07000977,0.2700098,0.1600098,-0.9599902,-0.8799902
"4152",-0.305,0.335,-0.165,0.075,-0.575,-0.765
"4164",-0.75,-0.87,0.49,0.44,-0.21,0.38
"4168",-0.98,0.1,-0.43,0.28,-0.44,0.56
"4172",0.43,-0.16,0.51,-0.27,-0.35,-0.57
"4185",-0.7650098,0.7649902,0.01499023,0.03499023,-0.2250098,-0.1750098
"4188",-0.005,0.415,-0.235,-0.055,-0.275,-0.035
"4189",-0.435,-0.235,-0.375,0.005,-0.195,-0.005
"4190",0.2875,0.0775,-0.0225,0.6675,0.2075,-0.4725
"4191",0.08,-0.54,-0.03,0.55,0.15,-0.4
"4193",-0.28,-0.26,0.31,0.18,-0.24,-0.56
"4194",0.04,-0.71,-0.1,0.18,0.07,-0.38
"4202",0.52,-0.2,-0.36,0.38,-0.62,0.33
"4203",0.255,-0.295,-0.055,0.135,0.385,-0.185
"4205",-0.205,-0.115,-0.935,0.325,-0.285,-0.115
"4206",-0.515,0.605,0.275,0.235,-0.145,0.635
"4209",-0.255,-0.145,0.445,0.005,-0.455,-0.075
"4213",-0.6600098,-0.4700098,0.5799902,0.6199902,0.9999902,0.1499902
"4214",-0.9400098,0.2899902,0.4799902,0.1199902,0.9099902,0.7899902
"4215",-0.815,0.525,0.485,0.185,0.915,0.785
"4216",-0.83,0.19,0.22,0.07,0.44,0.57
"4218",0.165,1.145,2.355,-0.075,-0.415,0.455
"4220",-0.63,-0.33,-0.07,0.37,0.29,0.52
"4226",0.52,-0.41,0.28,-0.22,-0.17,0.25
"4231",0.48,0.01,0.13,0.23,0.08,-0.12
"4232",0.5375,1.0875,-0.0425,0.0575,-0.2525,0.3975
"4234",0.1225,-0.2475,-0.4875,0.0325,-0.1275,-0.1775
"4237",-0.1299805,0.2700195,0.2500195,0.5600195,-0.5199805,1.94931e-05
"4239",-0.01,-0.52,0.09,0.31,0.49,-0.03
"4241",0.29,-0.03,-0.85,-0.82,-0.23,-0.7
"4243",-0.7349805,0.8850195,0.6450195,-1.534981,0.8350195,0.02501949
"4244",-0.6149805,0.2750195,0.1150195,-2.504981,1.045019,0.3250195
"4249",-0.6550098,0.2249902,-0.5550098,-1.20501,-0.4450098,0.09499023
"4251",-0.535,2.205,2.115,-1.285,-0.025,-1.615
"4258",0.05001949,-2.529981,-0.8599805,-0.4499805,-1.139981,0.6200195
"4267",-0.31,-0.12,0.57,1.06,0.34,0.13
"4268",-0.065,-0.575,1.035,0.545,-0.015,-0.255
"4274",-0.55,-0.24,0.49,-0.56,-0.44,-0.7
"4283",-0.875,0.125,0.235,-0.125,-0.445,-0.805
"4286",-0.56,0.22,0.31,-0.02,-0.86,-0.29
"4289",-0.04997074,-0.7099707,-1.449971,0.5700293,-0.2399707,-0.3499707
