"","V23","V56","V59","V60","V61","V62","V63","V64"
"2171",-0.1349902,0.01500977,-0.1749902,-0.1649902,-0.09499023,-0.3349902,-0.2549902,-0.1849902
"2178",-0.005,-0.365,-0.595,-0.075,0.225,0.295,0.265,0.405
"2180",-0.25,6.938894e-18,0.25,0.08,0.29,0.48,0.24,0.31
"2184",0.57,0.57,-0.27,0.08,0.13,-0.3,0.03,-1.21
"2186",0.075,0.755,0.395,-0.415,-0.005,-0.435,0.005,-0.135
"2187",-0.1325,0.3975,1.2675,-0.3625,0.2175,0.1075,0.5775,0.0475
"2188",-0.0425,0.0675,0.2975,-0.2425,0.1075,-0.1925,0.2075,0.0575
"2190",0.2849902,1.25499,0.1749902,-0.01500977,0.2149902,-0.1250098,0.8549902,-1.14501
"2195",-0.1799902,0.1100098,0.2200098,0.4600098,0.2000098,-0.3199902,0.6100098,0.4600098
"2200",0.005,0.265,-0.925,0.675,0.525,0.475,0.525,0.385
"2201",0.08,0.1,-1.02,0.7,0.45,0.34,0.46,0.35
"2203",0.09,1.1,-0.06,0.61,0.51,0.43,0.56,0.4
"2208",0.2599902,0.1199902,0.09999023,0.7399902,0.3299902,-0.04000977,1.08999,0.4499902
"2210",0.18,-0.39,0.32,0.63,0.28,-0.57,0.21,0.01
"2211",0.4499902,0.7499902,0.2499902,0.6999902,0.7099902,-0.05000977,-0.04000977,0.1799902
"2217",-0.01000977,-0.01000977,0.1399902,1.04999,0.4899902,0.5999902,-0.1000098,-0.3500098
"2219",0.25,0.52,-0.74,0.71,0.45,-0.27,-0.18,-0.25
"2221",0.445,0.425,-0.125,0.855,0.575,0.035,0.605,-0.015
"2222",0.445,0.065,0.005,0.955,0.535,-0.005,0.735,0.215
"2225",0.115,0.495,-0.135,-0.165,0.205,-0.405,0.155,-0.115
"2228",0.66,1.22,0.46,0.56,0.29,-0.23,0.33,0.89
"2229",0.325,0.455,0.175,-0.015,0.165,-0.175,1.035,-0.165
"2237",-0.04998051,1.020019,0.6500195,0.3300195,0.3800195,0.1900195,0.04001949,-0.01998051
"2241",-9.765625e-06,0.5999902,0.3099902,-0.3000098,0.1299902,0.8299902,0.6499902,0.06999023
"2242",-0.625,2.985,0.515,-0.075,1.675,-0.075,-0.705,-0.705
"2243",0.085,0.375,0.575,0.335,0.895,0.615,0.365,0.005
"2247",0.3100195,0.5200195,0.1200195,-0.05998051,0.5300195,0.4400195,0.8000195,0.2200195
"2249",-0.3900098,-0.3600098,0.2499902,0.03999023,0.01999023,0.3199902,-0.1100098,-9.765625e-06
"2250",-0.81,0.14,0.36,0.08,0.26,0.16,-0.03,-0.15
"2252",-0.385,0.145,0.315,0.035,0.425,0.335,0.405,-0.425
"2254",-0.015,-0.235,-0.815,-0.195,-0.275,0.145,-0.405,-0.085
"2259",0.1,0.82,0.75,0.38,1.09,0.38,-0.35,0.08
"2260",-0.09498051,1.675019,0.5050195,-0.4749805,0.3350195,0.05501949,0.1950195,-0.3449805
"2263",-0.56,0.81,0.33,0.11,0.39,-0.05,0.46,0.31
"2265",0.245,-0.405,-0.895,0.115,-0.095,-0.305,-0.325,0.055
"2267",0.1549902,-0.03500977,0.2149902,0.2849902,-0.1850098,-0.2650098,0.02499023,0.1849902
"2272",-0.2925,0.2275,-0.0725,0.4275,0.2575,0.2875,-0.7025,0.1775
"2276",-0.375,0.855,0.055,0.405,0.005,0.045,0.345,0.105
"2277",-0.08498051,0.4350195,-0.2749805,-0.3149805,0.2250195,-0.3549805,0.1750195,0.3550195
"2278",-0.3299805,0.5200195,-0.5399805,0.3500195,0.2700195,-0.1699805,-0.09998051,0.3100195
"2282",-0.235,0.335,-0.105,0.235,0.225,0.015,0.485,-0.015
"2283",-0.26,0.26,-0.16,0.16,0.19,-0.02,0.36,-0.01
"2287",-1.145,-0.775,-0.725,-0.415,-0.765,-0.865,-1.285,0.415
"2290",0.405,-0.355,0.295,0.525,-0.585,-0.105,-0.215,-0.195
"2294",-0.22,0.69,0.47,0.35,0.15,-0.29,0.01,0.33
"2295",-0.6425,-0.5725,-0.4325,0.3875,-0.5625,-0.1325,-0.2925,0.2275
"2298",-0.11,0.66,-0.55,-0.32,-0.18,-0.06,-0.07,-0.2
"2300",-0.24,0.08,-0.2,0.26,-0.09,0.1,1.211596e-17,0.11
"2302",0.4399902,-0.3400098,-0.4700098,-0.7100098,-0.9300098,-0.4600098,-0.5300098,-0.1700098
"2303",0.005,-0.515,-0.195,-0.495,-0.275,-0.615,-0.235,-0.835
"2323",-0.1399902,-0.9899902,-0.6499902,-0.2499902,-0.6899902,0.04000977,-1.14999,-1.04999
"2324",0.455,-0.445,-0.415,-0.035,0.285,-0.055,-0.445,-0.225
"2326",-0.2050098,-0.2850098,-0.6450098,-0.2050098,-0.08500977,-0.2750098,-0.2650098,-0.7450098
"2327",-0.285,-0.135,0.035,-0.035,-0.365,0.175,0.065,-0.225
"2328",-0.575,-0.305,-1.525,0.045,-0.495,0.365,0.775,-0.055
"2330",-0.235,0.015,-1.935,0.425,-0.075,0.705,0.185,0.145
"2332",-0.49,-0.78,-1.14,-1.11,-1.25,-0.47,-0.87,-1.08
"2336",1.005,-1.255,-0.885,-0.705,-0.315,-0.135,-1.145,-0.365
"2339",-0.095,0.525,-0.765,-0.555,-0.345,-0.215,-0.215,-0.475
"2347",0.03000977,0.4300098,0.5800098,0.6300098,0.3600098,0.01000977,0.05000977,0.6400098
"2356",-0.69,0.34,-0.07,0.13,0.57,0.88,1.01,-0.36
"2357",-0.7,0.17,0.1,-0.01,0.55,0.77,1.11,-0.42
"2360",-0.215,-1.715,-0.795,-0.685,-0.315,-0.315,-0.485,0.335
"2364",0.085,-0.235,0.175,-0.155,0.195,-0.005,-0.045,0.385
"2365",0.015,-0.875,0.405,-0.245,0.085,0.115,0.125,0.395
"2369",-0.195,-1.305,-0.295,-0.345,-0.495,-0.095,-0.165,0.535
"2370",0.18,-0.73,-0.47,-0.03,-0.33,-0.33,0.44,-3.469447e-18
"2371",0.27,0.35,0.02,0.47,0.26,0.07,0.1,0.08
"2380",0.5249902,0.4349902,0.8849902,0.9549902,0.04499023,0.1049902,0.4649902,0.7549902
"2381",0.7350098,0.07500977,1.53501,0.8750098,0.2850098,-0.2149902,0.7250098,1.15501
"2385",0.004990234,0.4549902,-0.01500977,0.2149902,0.1449902,-0.3250098,0.3149902,-0.6850098
"2393",0.5450195,0.4950195,0.4950195,0.4150195,0.1750195,-0.3149805,-0.03498051,-0.2949805
"2394",0.4350098,0.3250098,0.2850098,0.6750098,0.6250098,0.1750098,-0.02499023,-0.1349902
"2395",0.5525,0.3625,0.1425,0.3525,0.3725,-0.0375,0.3025,0.2125
"2404",0.12,0.39,0.46,1.13,0.45,-1.12,-0.06,0.42
"2405",-0.41,0.51,0.37,0.38,0.11,-0.02,0.33,0.1
"2406",0.095,0.515,-0.195,0.555,-0.095,-0.815,-0.145,0.095
"2407",0.1300098,0.1800098,-0.3599902,0.2600098,-0.04999023,-0.4899902,0.03000977,9.765625e-06
"2408",1.12,-1.16,0.07,-0.29,-0.2,-0.11,0.28,-0.49
"2410",0.7,0.39,0.08,0.25,0.46,0.17,-0.07,-0.45
"2413",0.615,-0.695,0.785,-0.735,-0.085,0.045,-0.125,-0.455
"2416",0.21,-0.24,-0.46,-0.02,-1.734723e-18,-0.03,0.29,-0.49
"2417",-0.035,-0.285,-0.835,0.005,0.295,-0.225,0.975,0.115
"2418",0.005,-0.515,-0.925,-0.215,-0.055,-0.315,0.625,-0.095
"2420",0.3,-0.24,-0.22,-0.46,-0.26,-0.03,-0.42,-0.13
"2421",0.2449902,-0.07500977,-0.05500977,-0.3350098,0.1849902,-0.1750098,0.3749902,0.5749902
"2424",0.25,-0.01,0.13,-0.37,0.09,-0.1,-0.55,-0.87
"2432",0.025,-0.035,0.175,-0.855,-0.255,0.015,-0.775,0.055
"2433",-0.11,0.31,0.5,-0.29,-0.02,0.05,0.21,0.03
"2443",-0.23,-0.31,-0.77,-0.67,-0.41,0.16,0.64,0.4
"2448",-0.03,-0.02,-0.7,-0.42,-0.57,0.28,0.32,0.74
"2451",-0.175,0.155,0.155,-0.445,-0.495,0.315,-0.605,-0.065
"2453",-0.005,0.045,-0.005,-0.045,-0.325,0.105,-0.275,-0.025
"2459",0.26,0.89,-0.08,-0.39,0.14,-0.09,-0.03,-0.2
"2462",-0.035,1.695,-0.055,0.015,0.205,-0.015,-0.285,-0.195
"2463",0.19,1.07,-0.5,8.605855e-19,-0.42,-0.11,-0.02,-0.31
"2464",0.115,1.135,0.145,0.345,-0.295,-0.325,0.075,-0.225
"2467",-0.1450098,-0.1450098,-0.1050098,0.01499023,-0.2450098,-0.03500977,-0.1250098,-0.8150098
"2469",0.44,0.48,-0.73,-0.19,0.23,0.66,0.5,0.57
"2476",0.1800195,0.8500195,-1.329981,-0.3699805,0.2500195,-0.01998051,1.020019,0.2000195
"2485",-0.009990234,-0.02999023,-0.5699902,0.2700098,-0.2899902,0.08000977,-0.009990234,0.08000977
"2490",-0.2600098,0.5799902,0.2899902,0.3299902,-0.1300098,0.2799902,-0.6700098,0.5499902
"2492",-0.665,0.045,0.245,0.025,-0.095,0.095,0.045,0.175
"2496",-1.015,-0.285,0.335,0.175,-0.765,-0.715,-0.915,-0.545
"2503",-0.295,-0.825,-0.545,-0.675,0.425,-0.085,-0.415,-0.765
"2505",-0.465,-0.505,-0.495,0.235,0.115,-0.545,-0.005,-0.105
"2519",0.4,-0.15,-0.04,0.2,-0.09,-1.11,-0.78,-0.05
"2521",0.095,-0.485,-1.035,-0.385,-0.325,-0.765,0.035,0.005
"2525",-0.0525,-0.2625,0.1175,-0.5325,-0.1225,-1.3225,0.0775,-0.3925
"2528",-0.5599902,-1.37999,-0.3799902,-1.08999,-1.04999,-0.7499902,-1.26999,-0.5399902
"2529",0.055,-0.525,-0.385,-0.665,-0.865,-0.695,-1.225,-0.235
"2530",0.415,-0.505,0.385,-0.745,-0.775,-0.975,-1.315,-0.215
"2531",-0.25,-0.17,-0.17,-0.01,-0.25,-1.23,-0.92,-0.22
"2532",-1.64,-1.1,0.14,-1.73,-1.47,-0.94,-1.03,-0.59
"2533",-0.3525098,-0.9125098,-0.4225098,-0.5725098,-0.2725098,-0.3925098,-0.2725098,0.2474902
"2534",-0.5350098,-0.07500977,-1.36501,-0.2150098,-0.4550098,-0.2250098,-0.2750098,0.004990234
"2535",-1.10501,-0.1850098,-1.45501,-0.1250098,-0.4450098,-0.03500977,0.03499023,0.2949902
"2539",0.6199902,-0.5000098,-0.5900098,-0.5600098,-0.5100098,0.1999902,-0.1800098,-0.4400098
"2540",0.53,-0.36,-0.25,-0.15,-0.37,-0.34,0.08,-0.38
"2546",0.415,-0.095,-0.555,-0.725,-0.295,-0.315,-0.005,-0.565
"2547",-0.1950098,0.07499023,-0.2850098,-0.01500977,-0.3850098,-0.2050098,-0.4350098,-0.1350098
"2554",0.9049902,-1.21501,-0.2650098,-1.34501,-1.34501,0.03499023,-1.02501,-0.2750098
"2558",0.075,-3.315,-0.125,-0.105,-0.655,-0.585,-0.735,-0.875
"2564",0.745,-0.135,-0.275,-0.065,0.065,-0.715,0.265,0.055
"2569",0.155,0.105,-0.205,0.645,0.195,-0.055,-0.055,-0.045
"2570",0.5325,-0.6375,-0.4475,0.8425,-0.1775,0.6425,0.1825,0.3125
"2572",-0.61,-0.69,-0.13,-0.5,-0.14,0.14,-0.78,0.42
"2586",-0.7449805,-1.244981,-0.07498051,-1.104981,-0.3049805,0.01501949,-0.9949805,-0.6249805
"2588",-0.215,-0.085,0.585,-0.485,-0.215,0.185,-1.035,-0.595
"2590",-0.04,-0.28,-0.1,-0.65,-0.41,-0.09,-1.04,-0.38
"2591",-0.1400098,-0.1400098,-0.09000977,-0.07000977,-0.6800098,0.03999023,-0.6600098,-0.02000977
"2592",-0.085,-0.155,-0.005,-0.035,0.055,0.205,-0.415,0.535
"2594",0.25,-0.13,-0.17,-0.42,0.39,0.05,0.68,-0.36
"2596",0.015,0.005,-0.575,0.375,-0.015,-0.315,-0.115,0.055
"2597",0.025,-0.445,-0.505,-0.365,-0.195,-0.395,-0.975,-0.265
"2598",0.015,-0.215,0.005,-0.405,-0.225,-0.575,-1.225,-0.505
"2608",0.415,-0.015,0.485,0.135,-0.455,0.145,-0.085,0.025
"2610",0.785,0.375,0.145,0.195,-0.105,-0.755,-0.395,0.185
"2612",0.035,0.185,0.585,0.355,-0.405,-0.695,-0.365,-0.005
"2613",0.005,0.115,-0.105,-0.005,-0.425,-0.945,-0.205,0.635
"2618",0.1650098,0.5650098,-0.2849902,-0.1249902,-0.1249902,-0.5849902,-0.3549902,0.7950098
"2619",-0.2399805,0.2200195,-0.4299805,-0.2499805,-0.4499805,-0.7499805,-0.009980507,-0.2399805
"2622",-0.35,0.08,0.17,0.66,0.46,-0.4,-0.09,0.28
"2627",-1.28,1.32,0.04,0.07,0.55,-0.04,-0.46,0.14
"2629",-0.39,-0.14,-0.14,0.01,-0.2,0.02,0.03,0.03
"2630",-0.3399805,0.01001949,-0.5099805,0.03001949,-0.009980507,0.08001949,0.3900195,0.02001949
"2633",0.25,0.23,0.13,0.08,-0.19,-0.86,0.28,1.03
"2636",-0.1499805,0.1500195,0.1300195,-0.3499805,0.05001949,-0.6799805,-0.5099805,0.4200195
"2637",-0.2875,0.9025,-0.2875,-0.2375,0.4125,0.2225,0.2125,0.7025
"2638",-0.3475,1.6925,-0.0675,-0.4075,0.3225,0.4525,0.2225,0.2025
"2640",0.255,1.105,0.085,0.135,0.555,0.685,0.115,0.075
"2643",-0.8599902,0.8500098,-0.5099902,0.1000098,0.8600098,0.4900098,0.8800098,0.4400098
"2644",-0.8299902,0.1600098,-0.1299902,0.4900098,0.5600098,-0.3599902,0.4000098,0.4700098
"2645",-0.535,0.125,0.055,0.445,0.155,-0.335,0.435,0.395
"2648",0.4149902,0.8349902,-0.9950098,-0.2050098,-0.4350098,-0.2850098,0.8449902,1.75499
"2649",0.35,0.06,-0.62,0.06,-0.04,-0.43,0.73,0.26
"2650",0.01,0.37,-0.83,-0.06,-0.73,-0.47,0.48,0.4
"2651",-1,0.04,-0.58,-0.04,-0.38,-0.24,0.32,1.19
"2653",-0.16,1.27,0.23,0.07,-0.48,0.35,0.55,0.79
"2657",0.255,0.825,0.165,-0.225,0.795,0.005,0.705,0.125
"2659",-0.19,0.44,-0.41,0.16,0.39,0.24,1.05,1.01
"2664",-0.5600098,-0.3600098,0.7899902,-0.1100098,0.3499902,-0.01000977,0.4099902,-0.1500098
"2666",0.08502926,-0.3949707,0.2050293,-0.08497074,-0.4649707,0.07502926,0.4950293,-0.3849707
"2669",0.1350098,0.5950098,-0.09499023,0.01500977,0.3250098,0.3550098,0.6550098,0.07500977
"2670",0.85,0.4,0.13,0.21,0.04,0.11,-0.07,0.02
"2673",0.225,0.525,0.435,-0.565,0.145,-0.215,0.655,-0.335
"2674",-0.385,0.605,-0.205,-0.115,-0.115,0.075,0.525,-0.085
"2675",-1.154981,-0.5249805,0.06501949,-0.1949805,-0.2549805,-0.2249805,0.1150195,0.4950195
"2678",-0.21,-0.36,-0.08,-0.04,-0.07,-0.08,0.15,0.23
"2680",-0.18,0.14,-0.39,-0.08,-0.41,-0.16,0.23,-0.11
"2683",0.2749902,0.6149902,-0.1950098,-0.1650098,0.1249902,-0.08500977,0.5649902,0.06499023
"2684",-0.015,0.425,-0.325,-0.805,-0.155,-0.205,-0.015,0.285
"2688",-0.105,-0.085,0.015,0.035,-0.185,0.085,0.365,0.415
"2689",-0.1899805,0.1500195,0.3600195,1.94931e-05,-0.4799805,-0.06998051,0.3000195,-0.04998051
"2690",-0.825,-0.015,-0.455,-0.035,-0.545,-0.095,0.535,0.115
"2691",0.4100098,0.3500098,0.1500098,-0.8599902,-0.7199902,-0.3799902,0.02000977,0.1200098
"2694",-0.4025,-0.7225,-0.9825,-1.5025,-0.6425,0.6875,0.6775,0.0175
"2699",0.645,-0.325,-0.695,-0.095,-0.005,0.215,0.085,-0.555
"2702",0.3600098,-0.05999023,0.3000098,0.3900098,-0.07999023,0.2100098,-0.4399902,-0.4099902
"2704",0.1050098,0.2450098,0.1950098,0.4850098,-0.1349902,0.1250098,-0.5349902,0.04500977
"2707",0.75,-0.01,0.33,-0.01,-0.45,0.1,-0.57,-0.14
"2710",0.1625,-0.2475,0.8325,-0.4075,-0.1975,0.1525,-0.4375,-0.2575
"2714",-0.02,0.27,-0.13,0.63,0.42,0.14,-0.18,0.73
"2721",0.13,0.47,0.22,0.78,0.85,-0.48,0.92,0.45
"2732",0.3100098,0.5300098,-0.06999023,0.4200098,0.6600098,0.07000977,0.2500098,0.7000098
"2733",0.5700195,0.2900195,0.7100195,1.190019,1.040019,0.7500195,0.2800195,0.5100195
"2734",-0.03,1.04,1.52,3.33,1.5,2.01,2.76,1.87
"2736",0.24,-0.01,0.7,0.5,0.94,0.44,0.68,0.46
"2739",0.14,-0.27,0.44,0.68,0.62,-0.6,0.46,0.14
"2741",-0.11,-0.55,0.52,0.5,0.78,-0.36,-0.62,-0.42
"2743",-0.32,-0.39,0.63,0.24,3.469447e-18,-0.21,-0.44,-0.65
"2749",0.2875,-0.8225,0.6875,0.1375,0.1375,0.3775,3.2375,0.6075
"2753",0.375,0.445,0.055,1.005,-0.465,0.805,0.335,0.185
"2755",0.105,0.295,1.165,0.045,0.935,-0.355,0.625,-0.055
"2764",-0.275,0.335,0.145,0.645,0.555,-0.155,0.265,-0.415
"2765",-0.275,0.555,0.705,0.895,0.535,-1.505,0.595,0.005
"2766",0.35,0.02,-0.37,-0.09,-0.19,-0.39,0.65,0.21
"2768",0.15,0.16,0.02,0.32,0.24,0.63,0.15,0.1
"2770",-0.17,0.08,0.55,-0.14,-0.05,1.22,0.43,0.48
"2772",0.04,0.28,0.39,0.88,0.69,0.68,0.72,-0.07
"2773",0.7775,-0.0725,0.6975,0.2975,0.6975,1.2175,-0.4925,1.0575
"2774",0.155,0.535,1.255,0.615,1.735,1.165,0.815,0.555
"2776",0.08001949,0.3000195,-0.1999805,-0.06998051,0.5400195,-0.4299805,0.2000195,0.5900195
"2780",-0.02,0.29,0.27,-0.05,-0.4,0.56,-0.31,0.13
"2781",0.1799902,-0.2900098,0.1499902,0.1699902,-0.2200098,0.6799902,-0.3300098,0.07999023
"2784",0.07999023,-0.1200098,-0.4500098,0.2499902,-0.2900098,0.7299902,-0.2400098,-0.02000977
"2791",0.355,0.125,-0.545,-0.015,0.255,0.015,-0.095,0.075
"2793",0.465,0.355,-0.105,-0.805,-0.375,-0.005,-0.905,0.135
"2794",0.43,0.3,-0.08,-0.66,-0.42,-0.13,-1.04,0.13
"2795",0.46,0.38,-0.24,8.605855e-19,0.1,0.32,-0.4,0.33
"2802",0.025,-0.015,-0.945,-0.065,-0.005,0.065,-0.345,0.325
"2807",0.415,-0.105,0.765,0.055,0.705,0.475,0.195,0.215
"2815",0.01001949,0.1600195,-1.109981,-0.5599805,0.1300195,0.1400195,0.1800195,0.1600195
"2821",-0.305,0.185,-0.085,-0.035,0.465,0.895,-0.145,0.205
"2822",0.4,0.61,0.04,0.19,0.83,0.24,-0.27,0.29
"2828",0.61,-1,0.51,-0.62,0.07,0.23,-0.79,0.05
"2829",-0.175,-0.415,0.355,-0.275,0.125,-0.175,-0.115,-0.175
"2832",-0.175,0.005,0.625,-0.895,-0.025,0.765,-0.885,0.225
"2833",0.35,0.54,0.83,-0.44,0.15,0.46,-1.25,-0.13
"2840",-0.02499023,-0.5749902,-0.5649902,-0.3049902,0.2150098,-0.9649902,-0.7049902,0.2550098
"2841",0.03,-0.22,0.17,-0.59,-0.02,-0.41,-0.78,-0.02
"2846",0.2550195,0.1850195,-0.1349805,-0.5049805,-0.1749805,-0.5149805,-0.4149805,0.02501949
"2847",0.32,0.22,-0.14,-0.29,-0.15,-0.31,-0.37,-0.02
"2851",0.335,0.595,-0.045,-0.185,0.345,0.255,-0.165,-0.065
"2852",0.4475,-0.0125,0.0375,0.0975,0.0575,-0.1125,-0.0025,-0.0025
"2858",0.5649902,-0.1050098,-0.9850098,0.06499023,0.4049902,0.2549902,-0.3550098,0.08499023
"2860",-0.085,0.915,0.765,1.075,0.995,0.965,0.275,0.335
"2861",-0.12,0.9,0.74,0.99,1.09,1.04,0.19,0.2
"2863",0.16,0.41,0.01,0.82,0.75,0.38,0.17,0.2
"2868",0.3199902,-0.5500098,0.07999023,0.1399902,0.5699902,-0.5600098,-0.1400098,0.03999023
"2870",0.68,0.67,-0.39,0.05,0.58,-0.43,0.39,-0.49
"2873",0.4525,-0.1175,-0.4375,0.5225,0.2525,0.0425,0.3025,-0.4675
"2874",0.425,0.185,0.415,0.365,0.525,0.355,0.575,-0.305
"2876",0.015,-0.505,-0.475,0.315,-0.085,0.105,0.515,-0.045
"2879",1.77501,-0.1349902,0.1150098,1.84501,0.05500977,1.74501,-0.4549902,0.1050098
"2883",0.015,0.765,-0.015,0.775,0.755,0.265,0.285,-0.475
"2884",0.34,-0.24,0.52,-0.46,-0.06,-0.2,-0.56,-0.07
"2894",0.345,-0.115,0.085,-0.175,0.235,-0.065,-0.025,0.695
"2896",-0.4325,0.5775,-0.4225,-0.1125,0.0675,-0.1225,0.2875,2.2275
"2898",0.38,0.53,-0.45,0.53,0.23,-0.4,-0.36,0.7
"2900",-0.1849805,0.2750195,0.4150195,0.3550195,-0.1949805,-0.9149805,0.1650195,0.09501949
"2910",0.26,-0.17,-0.03,0.33,0.33,0.24,0.78,0.54
"2911",-0.09,-0.91,-0.29,0.16,-0.54,0.15,0.32,-6.938894e-18
"2912",0.475,0.025,-0.385,-0.375,-0.105,0.275,0.125,0.295
"2915",0.425,0.805,-0.395,-0.065,0.235,0.195,1.095,0.485
"2918",0.2575,0.5475,0.3675,-0.2125,0.1975,0.0975,0.1875,0.3575
"2921",-0.485,-0.305,-0.125,0.345,0.645,-0.075,0.355,0.475
"2927",0.235,0.505,0.125,0.475,0.245,0.315,1.365,0.255
"2928",0.08999023,0.3799902,-0.01000977,0.4099902,0.1999902,0.6799902,1.19999,0.2999902
"2934",-0.075,0.155,-0.075,0.005,0.195,-0.375,0.645,-0.185
"2935",-0.2449903,0.1650097,-0.3449903,-0.4949903,-0.05499027,-0.1149903,0.3750097,0.5350097
"2939",0.07,-0.39,0.13,-0.3,-0.52,-0.26,-0.19,-0.43
"2943",-0.2999805,-0.1499805,-0.3699805,-0.3699805,-0.1099805,-0.5899805,-0.3699805,0.08001949
"2946",-0.1449902,0.07500977,-0.01499023,-0.2449902,-0.5249902,-0.5549902,-0.9349902,0.03500977
"2950",-0.34,-0.01,0.16,-0.68,-0.3,-0.41,-0.11,-0.06
"2956",0.2775195,-0.2424805,0.1175195,-0.07248051,-0.2824805,-0.09248051,-0.3024805,-0.7324805
"2958",-1.235,-0.475,0.275,-0.665,-0.575,0.125,-0.455,-0.215
"2961",-0.5749805,-0.5549805,-0.4549805,-0.4749805,-0.5749805,-0.3949805,-0.4649805,-0.8149805
"2966",-1.725,0.225,-0.115,-0.255,-0.695,-0.525,-0.595,0.035
"2972",-2.71,-0.32,0.11,8.605855e-19,-0.54,0.02,0.05,0.55
"2973",-4.395,-0.545,0.205,0.275,-0.415,-0.045,0.185,0.535
"2985",-1.845,-1.185,-0.015,-0.495,0.015,-0.615,0.115,-0.465
"3001",0.2200195,-0.1899805,0.3700195,0.2400195,0.2700195,-0.4699805,0.03001949,0.5500195
"3003",-0.235,-0.715,-0.435,0.435,-0.145,-0.915,-0.415,0.895
"3010",0.075,0.125,0.355,0.905,0.115,-0.245,0.145,0.335
"3011",0.47,-0.01,0.26,1,0.33,0.07,0.15,0.67
"3014",0.02,-1.35,0.77,0.47,-0.02,-0.55,-0.12,0.4
"3016",-0.05,-0.62,-0.31,0.48,-0.03,0.08,-0.27,0.9
"3018",-0.605,-0.535,0.395,0.975,0.315,-0.285,0.275,1.205
"3019",-0.625,-0.735,0.465,0.495,0.515,0.025,-0.115,0.815
"3020",-0.3949902,-0.7149902,-0.5849902,0.8150098,-0.1649902,-0.4549902,0.1650098,1.01501
"3021",-0.0775,-0.3075,0.0725,0.8025,-0.2175,-0.3075,-0.0675,0.8125
"3033",0.6149902,-0.4950098,-0.08500977,-0.7050098,-0.07500977,-0.7850098,-0.4950098,-0.7950098
"3044",-0.305,-0.285,0.245,0.205,-0.065,-0.085,0.065,-0.665
"3047",-0.1899805,0.1300195,0.03001949,-1.119981,-0.1899805,-0.7999805,-0.3399805,-1.659981
"3049",-0.82,-0.04,-0.77,-0.48,-0.47,-0.88,-1.26,-1.54
"3052",-0.47,-1.1,-0.56,-0.72,0.03,-0.54,-0.59,-0.79
"3053",-0.01,-0.53,-0.31,-1.14,-0.1,-0.61,-0.59,-0.46
"3059",-0.185,-0.185,0.305,0.035,-0.255,0.225,-0.225,-0.095
"3063",-0.1349903,0.1450097,0.2750097,0.3850097,-0.1449903,-0.1349903,-0.3749903,0.2150097
"3067",-0.05,-0.09,0.3,0.01,0.01,-0.34,0.12,0.03
"3068",-0.895,1.955,-0.355,-0.655,0.295,0.395,-0.365,-0.295
"3069",-0.39,-0.34,0.58,0.61,-0.13,1.24,-0.81,-3.469447e-18
"3072",0.4049902,0.3949902,0.4449902,-0.01500977,0.3549902,0.3149902,-0.08500977,0.4949902
"3096",-0.24,-0.71,-1.13,-0.37,0.04,-0.87,0.51,0.25
"3098",-0.2700098,-0.1300098,-0.7200098,-0.2800098,-0.03000977,0.02999023,0.1399902,0.09999023
"3103",0.0775,-0.2825,-0.5225,-0.2625,-0.5225,-0.0025,-0.1125,0.3675
"3104",-0.06498051,-0.2549805,-0.7249805,-0.4249805,-0.2749805,-0.04498051,-0.2349805,0.07501949
"3106",-0.23,0.18,-0.71,8.605855e-19,0.08,0.17,0.66,-0.86
"3113",0.14,0.61,-0.42,-0.21,0.02,0.25,0.54,1.04
"3118",0.09,-0.47,-0.01,-0.5,0.23,0.12,0.15,0.3
"3121",0.3199902,0.06999023,-0.2200098,-0.6000098,0.1599902,-0.1100098,-0.6400098,-0.2400098
"3123",0.12,0.54,-0.09,-0.37,-0.07,0.24,0.06,-0.12
"3127",-0.82,-0.04,-0.37,0.02,-0.44,0.04,0.13,0.26
"3128",0.33,0.02,-0.8,-0.38,-0.45,-0.02,0.15,-0.15
"3131",-0.645,-0.205,-0.185,-0.535,0.005,0.075,0.405,0.555
"3132",-0.055,-0.275,-0.465,-0.145,-0.195,0.505,0.215,0.185
"3142",-0.23,-0.16,-0.62,-0.49,-0.87,-0.01,-0.02,0.35
"3144",0.1,-0.06,-0.66,-0.03,-0.09,-0.22,0.15,0.46
"3145",0.3450098,0.2650098,-0.5849902,-0.2749902,-0.4949902,-0.3749902,0.09500977,0.3750098
"3146",0.075,0.095,-0.545,-0.445,-0.285,-0.245,0.055,0.455
"3147",-0.64,-0.17,-0.56,-1.24,-0.48,-0.37,-0.44,0.03
"3148",-0.47,-0.38,-1.07,-1.07,-0.46,-0.47,-0.15,0.02
"3150",0.09000977,0.3000098,-0.9899902,-0.6599902,-0.3399902,-0.1099902,-0.1499902,0.4900098
"3151",0.17,0.42,-0.37,-0.15,-0.19,0.14,0.24,0.17
"3152",0.235,0.215,-0.555,-0.275,-0.405,-0.135,-0.015,0.155
"3153",-0.405,-0.295,-0.335,-0.095,-0.065,0.415,-0.285,0.195
"3154",-0.74,-0.67,-0.69,-0.12,-0.17,0.51,-0.23,0.6
"3156",-0.275,-0.255,-1.085,-0.805,-0.715,-0.875,0.205,0.105
"3158",0.2950195,-0.8349805,-0.9949805,-0.7149805,-0.4149805,-0.6149805,0.02501949,0.6050195
"3162",-0.07500977,-0.2050098,-0.7950098,-0.1150098,-0.06500977,0.1349902,0.6049902,0.7549902
